*** szafir SiO2 20 mkm 15-04-2019	*START	Date: 2019-04-15	Time: 13:31:42
Current for R :2.000mA	Current 3-Omega25.000 mA		

Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
200.0000	200.0044	202.6025	 19.3302	 12.0814	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.423240E-4	-1.741400E-5	6.930000E+0	5.224000E-1	1.000000E+2	2.316691E+2
1.397480E-4	-1.762400E-5	7.180000E+0	5.224000E-1	1.260000E+2	2.316651E+2
1.371580E-4	-1.790400E-5	7.420000E+0	5.224300E-1	1.580000E+2	2.316657E+2
1.345320E-4	-1.804800E-5	7.600000E+0	5.224800E-1	1.990000E+2	2.316691E+2
1.319300E-4	-1.828800E-5	7.950000E+0	5.225000E-1	2.510000E+2	2.316570E+2
1.293640E-4	-1.851000E-5	8.190000E+0	5.225000E-1	3.160000E+2	2.316753E+2
1.267560E-4	-1.878600E-5	8.430000E+0	5.224400E-1	3.980000E+2	2.316546E+2
1.242280E-4	-1.915000E-5	8.730000E+0	5.224900E-1	5.010000E+2	2.316694E+2
1.216720E-4	-1.955000E-5	9.130000E+0	5.225000E-1	6.310000E+2	2.316744E+2
1.192040E-4	-2.002400E-5	9.480000E+0	5.224200E-1	7.940000E+2	2.316618E+2
1.166940E-4	-2.060200E-5	1.001000E+1	5.224000E-1	1.000000E+3	2.316529E+2
1.140440E-4	-2.149600E-5	1.069000E+1	5.224000E-1	1.260000E+3	2.316528E+2
1.115140E-4	-2.264400E-5	1.151000E+1	5.224000E-1	1.580000E+3	2.316666E+2
1.084580E-4	-2.425600E-5	1.257000E+1	5.224000E-1	1.990000E+3	2.316591E+2
